Brand,Competitive,Related
Divvy,[],[]
Chicago Park District,"['Forest Preserve District of Cook County', 'Chess Tables']","['Four Seasons (Chagall)', 'The Bowman and The Spearman']"
Chicago Public Schools,[],"['Chicago Fire Department', 'South Shore High School (Chicago)', 'The University of Chicago', 'William Howard Taft High School (Chicago)', 'Senn High School', 'Chicago Public Library', 'Illinois Institute of Art – Chicago', 'Orr Academy High School', 'Julian High School (Chicago)', 'Garfield Park (Chicago)', 'Hancock High School (Chicago)', 'Maine West High School']"
Dunkin',"['Panda Express', 'Little Caesars', 'Chipotle', 'Burger King', 'Potbelly', ""Lou Malnati's Pizzeria"", ""Giordano's Pizzeria"", ""Domino's"", 'Taco Bell', ""Wendy's"", 'Checkers', 'Panera Bread', 'White Castle', ""Jimmy John's"", ""McDonald's"", 'Wingstop', 'Subway']","['Billy Goat Tavern', 'White Castle', 'Shake Shack', ""Culver's"", 'Joe & The Juice', ""Peet's Coffee"", 'Subway', ""Auntie Anne's"", 'Louisiana Famous Fried Chicken', 'Philz Coffee', ""Steak 'n Shake"", 'Dairy Queen', 'Starbucks Reserve', 'Au Bon Pain', 'Pret A Manger', 'Burger King', 'Krispy Krunchy Chicken', ""Domino's"", 'Panera Bread', ""Seattle's Best Coffee"", ""McDonald's"", 'La Colombe Coffee', ""Wendy's"", 'KFC']"
Shell,"['Amstar', 'BP', 'Marathon', 'GoLo', 'Citgo', 'Tesla Supercharger', 'Mobil']","['Circle K', '7-Eleven', 'AT&T', 'Clark', 'BP Shop']"
Citgo,"['Amstar', 'BP', 'Marathon', 'Shell', 'GoLo', 'Tesla Supercharger', 'Mobil']","['Circle K', '7-Eleven']"
Subway,"['Panda Express', 'Little Caesars', 'Chipotle', 'Potbelly', 'Burger King', ""Lou Malnati's Pizzeria"", ""Giordano's Pizzeria"", ""Domino's"", 'Panera Bread', ""Wendy's"", 'Checkers', 'White Castle', ""Dunkin'"", ""Jimmy John's"", ""McDonald's"", 'Wingstop', 'Taco Bell']","['Little Caesars', 'Billy Goat Tavern', 'White Castle', 'Shake Shack', ""Dunkin'"", ""Culver's"", 'Joe & The Juice', 'Panda Express', 'Jollibee', ""Auntie Anne's"", ""Steak 'n Shake"", 'Louisiana Famous Fried Chicken', ""Jimmy John's"", 'Dairy Queen', 'Starbucks Reserve', 'Hooters', 'Taco Bell', 'Five Guys', 'Pizza Hut', 'Starbucks', ""Jersey Mike's Subs"", 'Pret A Manger', 'Burger King', 'Krispy Krunchy Chicken', ""Domino's"", 'Panera Bread', ""Seattle's Best Coffee"", 'Buffalo Wild Wings', 'Pollo Campero', ""Arby's"", ""Chili's"", ""McDonald's"", ""Church's Chicken"", 'Chipotle', 'Potbelly', 'Vapiano', ""Nando's"", ""Wendy's"", 'Popeyes', 'KFC', 'IHOP']"
Starbucks,"[""Peet's Coffee"", 'Corner Bakery']","[""Jersey Mike's Subs"", 'Billy Goat Tavern', 'Potbelly', 'Burger King', 'Krispy Krunchy Chicken', ""Domino's"", 'Louisiana Famous Fried Chicken', 'Panera Bread', ""Wendy's"", ""Steak 'n Shake"", 'White Castle', 'Shake Shack', ""Jimmy John's"", ""Culver's"", ""McDonald's"", 'KFC', 'Dairy Queen', 'Subway']"
Walgreens,['CVS Pharmacy'],"['Best Buy', 'CVS Pharmacy', 'Petco']"
Chicago Fire Department,[],[]
McDonald's,"['Panda Express', 'Little Caesars', 'Potbelly', 'Burger King', 'Chipotle', ""Lou Malnati's Pizzeria"", ""Giordano's Pizzeria"", ""Domino's"", 'Taco Bell', ""Wendy's"", 'Panera Bread', 'White Castle', ""Dunkin'"", ""Jimmy John's"", 'Checkers', 'Wingstop', 'Subway']","[""Rosati's"", 'Shake Shack', ""Jersey Mike's Subs"", 'Pret A Manger', 'USPS', 'Panera Bread', 'Argo Tea', 'Blaze Pizza', ""Seattle's Best Coffee"", ""Arby's"", 'Cinnabon', ""Church's Chicken"", ""Portillo's"", ""Nando's"", ""Wendy's"", ""Chuck E. Cheese's"", 'IHOP', 'Tropical Smoothie Cafe', 'Billy Goat Tavern', 'Manchu Wok', ""Culver's"", ""Peet's Coffee"", 'Subway', ""Harold's Chicken Shack"", 'Sweetgreen', 'Chick-fil-A', 'The Halal Guys', 'Philz Coffee', 'Unos', 'Starbucks Reserve', 'Freshii', 'Au Bon Pain', 'Taco Bell', 'MOD Pizza', 'The Original Pancake House', ""Lou Malnati's Pizzeria"", 'Così', 'Vapiano', 'Popeyes', 'KFC', 'Little Caesars', 'White Castle', ""Dunkin'"", 'Insomnia Cookies', 'Panda Express', 'Louisiana Famous Fried Chicken', 'Einstein Bros. Bagels', ""Jimmy John's"", 'Dairy Queen', 'Hooters', 'Noodles & Company', 'Le Pain Quotidien', 'Five Guys', 'Pizza Hut', 'Starbucks', 'Burger King', 'Sbarro', ""Domino's"", ""Jet's Pizza"", 'Pollo Campero', 'Checkers', 'Home Run Inn', 'Chipotle', ""Giordano's Pizzeria"", 'Qdoba', 'Joe & The Juice', 'Ronald McDonald House Charities', ""Raising Cane's"", 'Jollibee', 'Amazon', ""Auntie Anne's"", ""Steak 'n Shake"", 'TCBY', 'Baskin-Robbins', 'Cold Stone Creamery', 'Krispy Krunchy Chicken', ""Sarpino's Pizzeria"", 'Buffalo Wild Wings', 'Boston Market', 'Wingstop', 'La Colombe Coffee', 'Potbelly', 'Jamba', 'Corner Bakery', ""Jason's Deli""]"
BP,"['Amstar', 'Marathon', 'Shell', 'GoLo', 'Citgo', 'Tesla Supercharger', 'Mobil']",['Circle K']
7-Eleven,"['Mobil Mart', 'BP Shop']","['Circle K', 'AT&T', 'Clark', 'Neiman Marcus', 'Exxon', 'Phillips 66', 'Shell', 'Jewel-Osco', 'Speedway', 'Corner Bakery', 'Citgo', 'Hudson']"
United States Postal Service,['UPS'],[]
Chase,"['Fifth Third Bank', 'Bank of America', 'Byline Bank', 'Wintrust Bank', 'U.S. Bank', 'Citibank', 'BMO Harris Bank', 'PNC Bank', 'Huntington Bank']",[]
BP Shop,"['Mobil Mart', '7-Eleven']","['Circle K', 'AT&T', 'Clark']"
Chicago Public Library,[],"['Chicago Public Schools', 'Loyola University Chicago', 'The University of Chicago', 'Illinois Institute of Art – Chicago', 'DePaul University', 'Garfield Park (Chicago)', 'South Shore Cultural Center']"
Family Dollar,"['Dollar Tree', 'Dollar General', 'Metra']","['Best Buy', 'Petco', 'TJ Maxx', 'Burlington']"
Marathon,"['Amstar', 'BP', 'Shell', 'GoLo', 'Citgo', 'Tesla Supercharger', 'Mobil']","['Circle K', 'AT&T']"
Bank of America,"['Chase', 'Fifth Third Bank', 'Byline Bank', 'Wintrust Bank', 'U.S. Bank', 'Citibank', 'BMO Harris Bank', 'PNC Bank', 'Huntington Bank']","['AT&T', 'Fifth Third Bank', 'RBC', 'U.S. Bank', 'Citibank', 'Associated Bank', 'PNC Bank', 'Starbucks Reserve', 'CIBC', 'Huntington Bank']"
Boost Mobile,"['AT&T', 'Verizon', 'Cricket Wireless', 'Metro by T-Mobile', 'T-Mobile']","['Petco', 'AT&T', 'Metro by T-Mobile']"
Dollar Tree,"['Family Dollar', 'Metra', 'Dollar General']","[""Auntie Anne's"", 'Petco', 'Burlington', 'Best Buy', 'TJ Maxx']"
Mobil,"['Amstar', 'BP', 'Marathon', 'Shell', 'GoLo', 'Citgo', 'Tesla Supercharger']",[]
T-Mobile,"['AT&T', 'Verizon', 'Cricket Wireless', 'Metro by T-Mobile', 'Boost Mobile']","['AT&T', 'Metro by T-Mobile']"
United States Post Office,[],[]
CVS Pharmacy,['Walgreens'],"['Best Buy', 'Walgreens', 'Petco']"
Metro by T-Mobile,"['AT&T', 'Verizon', 'Cricket Wireless', 'Boost Mobile', 'T-Mobile']","['AT&T', 'Verizon', 'Cricket Wireless', 'Boost Mobile', 'T-Mobile']"
Burger King,"['Panda Express', 'Little Caesars', 'Chipotle', 'Potbelly', ""Lou Malnati's Pizzeria"", ""Giordano's Pizzeria"", ""Domino's"", 'Taco Bell', ""Wendy's"", 'Checkers', 'Panera Bread', 'White Castle', ""Dunkin'"", ""Jimmy John's"", ""McDonald's"", 'Wingstop', 'Subway']","['Little Caesars', 'Billy Goat Tavern', 'Manchu Wok', 'White Castle', 'Shake Shack', ""Culver's"", ""Dunkin'"", 'Insomnia Cookies', ""Raising Cane's"", ""Peet's Coffee"", 'Subway', 'Sweetgreen', ""Harold's Chicken Shack"", 'Panda Express', 'Chick-fil-A', 'Jollibee', ""Steak 'n Shake"", ""Auntie Anne's"", 'Louisiana Famous Fried Chicken', 'TCBY', 'The Halal Guys', 'Einstein Bros. Bagels', ""Jimmy John's"", 'Dairy Queen', 'Starbucks Reserve', 'Hooters', 'Au Bon Pain', 'Noodles & Company', 'Taco Bell', 'MOD Pizza', 'Five Guys', 'The Original Pancake House', 'Baskin-Robbins', 'Starbucks', 'Cold Stone Creamery', ""Jersey Mike's Subs"", 'Pizza Hut', 'Krispy Krunchy Chicken', 'Sbarro', ""Domino's"", 'Panera Bread', 'Argo Tea', 'Blaze Pizza', ""Seattle's Best Coffee"", ""Arby's"", ""McDonald's"", 'Boston Market', 'Cinnabon', 'Wingstop', 'Checkers', ""Church's Chicken"", 'Così', 'Potbelly', 'Chipotle', ""Portillo's"", ""Wendy's"", 'Jamba', 'Qdoba', 'Corner Bakery', 'Popeyes', ""Jason's Deli"", 'KFC', 'IHOP', 'Tropical Smoothie Cafe']"
Mobil Mart,"['7-Eleven', 'BP Shop']",[]
AutoZone,"[""O'Reilly Auto Parts"", 'Advance Auto Parts']","['Pep Boys', 'Carquest', 'Petco', ""O'Reilly Auto Parts"", 'Advance Auto Parts']"
Baskin-Robbins,['La Michoacana'],"['Cold Stone Creamery', 'Billy Goat Tavern', ""Jeni's Splendid Ice Creams"", 'Krispy Krunchy Chicken', 'Louisiana Famous Fried Chicken', 'Panera Bread', ""Wendy's"", 'TCBY', ""Steak 'n Shake"", 'La Michoacana', 'White Castle', 'Shake Shack', ""Culver's"", 'Dairy Queen', 'KFC']"
Jewel-Osco,"['ALDI', 'Walmart', 'Whole Foods Market', ""Mariano's Fresh Market""]",['Circle K']
Spray Feature,"['Water Playground', 'Spray Pool']",[]
Fifth Third Bank,"['Chase', 'Bank of America', 'Byline Bank', 'Wintrust Bank', 'U.S. Bank', 'Citibank', 'BMO Harris Bank', 'PNC Bank', 'Huntington Bank']","['CIBC', 'RBC']"
Popeyes,"['KFC', ""Church's Chicken""]","['Chick-fil-A', 'Billy Goat Tavern', 'Krispy Krunchy Chicken', ""Domino's"", 'Louisiana Famous Fried Chicken', 'Panera Bread', ""Wendy's"", 'The Halal Guys', ""Steak 'n Shake"", 'Buffalo Wild Wings', 'White Castle', 'Shake Shack', ""Culver's"", 'Pollo Campero', 'Dairy Queen', 'Wingstop', 'KFC']"
Potbelly,"['Panda Express', 'Little Caesars', 'Chipotle', 'Burger King', ""Lou Malnati's Pizzeria"", ""Giordano's Pizzeria"", ""Domino's"", 'Taco Bell', ""Wendy's"", 'Checkers', 'Panera Bread', 'White Castle', ""Dunkin'"", ""Jimmy John's"", ""McDonald's"", 'Wingstop', 'Subway']","['Starbucks', 'Billy Goat Tavern', 'Krispy Krunchy Chicken', 'Louisiana Famous Fried Chicken', 'Panera Bread', ""Wendy's"", ""Steak 'n Shake"", 'White Castle', 'Shake Shack', ""Jimmy John's"", ""Culver's"", 'Dairy Queen', 'KFC', 'Subway']"
PNC Bank,"['Fifth Third Bank', 'Chase', 'Bank of America', 'Byline Bank', 'Wintrust Bank', 'U.S. Bank', 'Citibank', 'BMO Harris Bank', 'Huntington Bank']","['CIBC', 'RBC']"
