ID,Name,Brand,Latitude,Longitude,cate_1,cate_2,cate_3,brand:wikidata,Region_ID,District,Region,BA_ID,BA
42723103,Hart Island Ferry Terminal,Hart Island Ferry Terminal,40.8521816,-73.7726765,transportation,tranportation_service,shipping,,552,Bronx,Hart Island,38.0,210
349323821,Five Guys,Five Guys,40.7625361,-73.9766972,food_and_beverage,food_and_beverage_shop,mixed_cuisine,Q1131810,88,Manhattan,Midtown-Times Square,60.0,105
357544577,All Saints High School,All Saints High School,40.7012239,-73.9445117,education,formal_education,school,,958,Brooklyn,South Williamsburg,64.0,301
357544886,Andrew Jackson High School,Andrew Jackson High School,40.6980722,-73.7465943,education,formal_education,school,Q4757463,1718,Queens,Cambria Heights,44.0,413
357545339,Ascension School,Ascension School,40.7356909,-73.8785433,education,formal_education,school,,2090,Queens,Elmhurst,0.0,404
357559473,Fieldston Upper School,Fieldston Lower School,40.8891988,-73.9069831,education,formal_education,school,,2249,Bronx,Riverdale-Spuyten Duyvil,43.0,208
357561914,Good Shepherd School,Good Shepherd School,40.6042714,-73.9401376,education,formal_education,school,,1002,Brooklyn,Madison,48.0,315
357562455,Great Kills Park,Great Kills Park,40.548161,-74.1262534,sports,sports_facility,multi_purpose_sports_facility,,1383,Staten Island,Great Kills Park,24.0,595
357563150,Haffen Park,Haffen Park,40.8734332,-73.8395788,sports,sports_facility,multi_purpose_sports_facility,,2264,Bronx,Eastchester-Edenwald-Baychester,36.0,212
357563214,MS 447,MS 443,40.6838398,-73.9805745,education,formal_education,school,,572,Brooklyn,Downtown Brooklyn-DUMBO-Boerum Hill,19.0,302
357563924,Cardinal Hayes High School,Cardinal Spellman High School,40.82028,-73.92556,education,formal_education,school,Q5038559,272,Bronx,Concourse-Concourse Village,22.0,204
357565028,Holy Cross School,Holy Cross School,40.6501038,-73.9537492,education,formal_education,school,,1108,Brooklyn,East Flatbush-Erasmus,5.0,317
357565033,Holy Cross School,Holy Cross School,40.8176757,-73.8609622,education,formal_education,school,,245,Bronx,Soundview-Clason Point,41.0,209
357565063,Holy Family School,Holy Family School,40.7234356,-73.9540269,education,formal_education,school,,1004,Brooklyn,Greenpoint,64.0,301
357567201,Junior High School 115,Junior High School 115,40.8567588,-73.8987482,education,formal_education,school,,485,Bronx,Fordham Heights,45.0,205
357567339,Middle School 180,Middle School 198,40.5842987,-73.8250606,education,formal_education,school,,1886,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,12.0,414
357567368,Middle School 198,Middle School 198,40.5944465,-73.7867485,education,formal_education,school,,1892,Queens,Rockaway Beach-Arverne-Edgemere,12.0,414
357567380,Middle School 210,Middle School 198,40.6847001,-73.8478291,education,formal_education,school,,1412,Queens,Ozone Park (North),35.0,409
357567410,Intermediate School 231,Intermediate School 115,40.6646242,-73.7593996,education,formal_education,school,,2168,Queens,Springfield Gardens (South)-Brookville,44.0,413
357567413,Intermediate School 232,Intermediate School 115,40.6587839,-73.928888,education,formal_education,school,,1144,Brooklyn,East Flatbush-Rugby,5.0,317
357567449,Intermediate School 292,Intermediate School 115,40.6718768,-73.8934104,education,formal_education,school,,1238,Brooklyn,East New York (North),66.0,305
357567499,Intermediate School 51,Intermediate School 115,40.6228816,-74.1448653,education,formal_education,school,,1355,Staten Island,Westerleigh-Castleton Corners,23.0,501
357567504,Junior High School 51,Junior High School 115,40.8203785,-73.9065253,education,formal_education,school,,285,Bronx,Melrose,21.0,201
357567511,Intermediate School 52,Intermediate School 115,40.8656163,-73.9248011,education,formal_education,school,,237,Manhattan,Inwood,7.0,112
357567590,Junior High School 81,Junior High School 115,40.8059341,-73.9518045,education,formal_education,school,,201,Manhattan,Harlem (South),70.0,110
357568384,La Tourette Park,La Tourette Park,40.5823268,-74.1426429,sports,sports_facility,multi_purpose_sports_facility,,1384,Staten Island,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,20.0,502
357568901,Lemon Creek Park,Lemon Creek Park,40.5156613,-74.200144,sports,sports_facility,multi_purpose_sports_facility,,1339,Staten Island,Annadale-Huguenot-Prince's Bay-Woodrow,13.0,503
357574570,Saint John's University Staten Island Campus,Saint John's University Staten Island Campus,40.6213917,-74.0911136,education,formal_education,university,,1281,Staten Island,West New Brighton-Silver Lake-Grymes Hill,23.0,501
357575725,Our Lady of Grace School,Our Lady of Grace School,40.6614925,-73.8329124,education,formal_education,school,,1868,Queens,Howard Beach-Lindenwood,65.0,410
357578659,Public School 131,New York City Department of Education,40.6408017,-73.9933334,education,formal_education,school,Q408230,717,Brooklyn,Borough Park,50.0,312
357579092,Public School 169,New York City Department of Education,40.6459,-74.0015668,education,formal_education,school,Q408230,613,Brooklyn,Sunset Park (Central),55.0,307
357579234,The SEEALL Academy,New York City Department of Education,40.6266673,-73.9895995,education,formal_education,school,Q408230,927,Brooklyn,Borough Park,50.0,312
357579460,Intermediate School 201,Intermediate School 115,40.8070452,-73.9387486,education,formal_education,school,,190,Manhattan,East Harlem (North),37.0,111
357579889,Intermediate School 252,Intermediate School 115,40.6578814,-73.9198593,education,formal_education,school,,1149,Brooklyn,East Flatbush-Remsen Village,5.0,317
357580361,Public School 41,Public School 41,40.5738881,-74.109085,education,formal_education,school,,2138,Staten Island,New Dorp-Midland Beach,20.0,502
357580371,Public School 41,Public School 41,40.87444,-73.86806,education,formal_education,school,,479,Bronx,Williamsbridge-Olinville,36.0,212
357584381,Saint Francis of Assisi School,Saint Francis of Assisi School,40.7717842,-73.9010431,education,formal_education,school,,1467,Queens,Astoria (North)-Ditmars-Steinway,52.0,401
357584491,Saint Francis of Assisi Elementary School,Saint Francis of Assisi School,40.6614655,-73.9490892,education,formal_education,school,,1114,Brooklyn,Prospect Lefferts Gardens-Wingate,61.0,309
357584495,Saint Francis Preparatory School,Saint Francis Preparatory School,40.71667,-73.95833,education,formal_education,school,,993,Brooklyn,Williamsburg,64.0,301
357585174,Saint Johns Preparatory School,Saint John's Preparatory School,40.6948972,-73.9376355,education,formal_education,school,,770,Brooklyn,Bedford-Stuyvesant (East),2.0,303
357585497,Saint Josephs School,Saint Josephs School,40.7153805,-73.7392986,education,formal_education,school,,1746,Queens,Queens Village,44.0,413
