Brand,Competitive,Related
United States Postal Service,"['USPS', 'UPS']",[]
Citi Bike,[],[]
Dunkin',"['Juice Generation', 'Golden Krust Caribbean Bakery & Grill', 'White Castle', 'Shake Shack', 'Juice Press', 'Dos Toros Taqueria', 'Subway', 'Sweetgreen', 'Panda Express', 'Bareburger', ""Dunkin' Donuts"", 'Texas Chicken & Burgers', 'Dig', 'Taco Bell', 'Five Guys', 'Just Salad', 'Pret A Manger', 'Burger King', ""Xi'an Famous Foods"", ""Papa John's"", ""Dunkin' Donuts/Baskin Robbins"", 'Panera Bread', ""Applebee's Neighborhood Grill & Bar"", 'Checkers', ""McDonald's"", 'Lenwich', 'Chipotle', ""Wendy's"", 'Gong Cha', 'Atomic Wings', 'IHOP']",[]
Chase,"['Apple Bank', 'Popular', 'Bank of America', 'Wells Fargo', 'Citibank', 'Santander', 'Investors Bank', 'HSBC', 'Ridgewood Savings Bank', 'Valley National Bank', 'TD Bank']",['Hugo Boss']
Starbucks,"['Bluestone Lane', 'Gregorys Coffee', 'ViVi Bubble Tea', 'Birch Coffee', 'Hungry Ghost', 'Blue Bottle Coffee', 'Joe Coffee Company', 'Le Pain Quotidien']",[]
McDonald's,"['Juice Generation', 'Golden Krust Caribbean Bakery & Grill', 'White Castle', 'Shake Shack', ""Dunkin'"", 'Juice Press', 'Dos Toros Taqueria', 'Subway', 'Sweetgreen', 'Panda Express', 'Bareburger', ""Dunkin' Donuts"", 'Texas Chicken & Burgers', 'Dig', 'Taco Bell', 'Five Guys', 'Just Salad', 'Pret A Manger', 'Burger King', ""Xi'an Famous Foods"", ""Papa John's"", ""Dunkin' Donuts/Baskin Robbins"", 'Panera Bread', ""Applebee's Neighborhood Grill & Bar"", 'Checkers', 'Lenwich', 'Chipotle', ""Wendy's"", 'Gong Cha', 'Atomic Wings', 'IHOP']","['Little Caesars', 'Aroma Espresso Bar', 'California Pizza Kitchen', 'White Castle', 'Shake Shack', 'Insomnia Cookies', 'Joe & The Juice', ""Peet's Coffee"", 'Subway', 'Sweetgreen', 'Panda Express', 'Chick-fil-A', 'Jollibee', 'Krispy Kreme', ""Auntie Anne's"", ""Dunkin' Donuts"", 'The Halal Guys', 'Caffé Venice', ""TGI Friday's"", 'Outback Steakhouse', 'Starbucks Reserve', 'Hooters', 'Au Bon Pain', 'Le Pain Quotidien', 'Taco Bell', 'Just Salad', 'Five Guys', 'Baskin-Robbins', 'Cold Stone Creamery', 'Pizza Hut', ""Dave & Buster's"", 'BurgerFi', 'Burger King', 'Sbarro', ""Papa John's"", 'USPS', ""Nathan's"", 'Panera Bread', 'Pret A Manger', 'Popeyes', ""Denny's"", 'Buffalo Wild Wings', 'Pollo Campero', ""Applebee's Neighborhood Grill & Bar"", ""Arby's"", 'Cinnabon', 'Boston Market', 'Johnny Rockets', 'Wingstop', 'Checkers', 'Blue Bottle Coffee', ""Jersey Mike's"", 'Charleys Philly Steaks', 'Carvel', 'The Counter', 'Così', 'The Coffee Bean & Tea Leaf', 'Potbelly', 'Chipotle', 'Smashburger', 'Wasabi', ""Wendy's"", 'Olive Garden', 'Chopt', 'Tim Hortons', 'Häagen-Dazs', 'Red Lobster', ""Ben & Jerry's"", 'Pinkberry', 'Qdoba', 'Red Mango', ""Chuck E. Cheese's"", 'La Colombe Coffee Roasters', 'KFC', 'IHOP', 'Tropical Smoothie Cafe']"
USPS,"['United States Postal Service', 'UPS']",[]
New York City Fire Department,"['New York Engine Company Number 83', 'New York Ladder Company 153']","['New York Public Library', 'New York City Department of Parks and Recreation', 'List of New York Public Library Branches', 'Mount Sinai Beth Israel', 'Eileen Fisher', 'Dante Park', 'New York City Department of Education']"
Bank of America,"['Apple Bank', 'Chase', 'Popular', 'Wells Fargo', 'Citibank', 'Santander', 'Investors Bank', 'HSBC', 'Ridgewood Savings Bank', 'Valley National Bank', 'TD Bank']","['First Republic Bank', 'Popular', 'Bank of America', 'M&T Bank', 'Citizens Bank', 'WebsterBank', 'Wells Fargo', 'Citibank', 'Santander', 'Cathay Bank', 'East West Bank', 'PNC Bank', 'TD Bank', 'Starbucks Reserve', 'City National Bank', 'Charles Schwab']"
Subway,"['Juice Generation', 'Golden Krust Caribbean Bakery & Grill', 'White Castle', 'Shake Shack', ""Dunkin'"", 'Juice Press', 'Dos Toros Taqueria', 'Sweetgreen', 'Panda Express', 'Bareburger', ""Dunkin' Donuts"", 'Texas Chicken & Burgers', 'Dig', 'Taco Bell', 'Five Guys', 'Just Salad', 'Pret A Manger', 'Burger King', ""Xi'an Famous Foods"", ""Papa John's"", ""Dunkin' Donuts/Baskin Robbins"", 'Panera Bread', ""Applebee's Neighborhood Grill & Bar"", 'Checkers', ""McDonald's"", 'Lenwich', 'Chipotle', ""Wendy's"", 'Gong Cha', 'Atomic Wings', 'IHOP']","['Little Caesars', 'Aroma Espresso Bar', 'White Castle', 'Shake Shack', 'Joe & The Juice', 'Panda Express', 'Jollibee', 'Krispy Kreme', ""Auntie Anne's"", ""Dunkin' Donuts"", 'Tous Les Jours', ""TGI Friday's"", 'Outback Steakhouse', 'Starbucks Reserve', 'Hooters', 'Taco Bell', 'Five Guys', 'Pizza Hut', ""Nathan's"", 'Pret A Manger', 'Burger King', 'BurgerFi', ""Papa John's"", 'Panera Bread', ""Denny's"", 'Buffalo Wild Wings', 'Pollo Campero', ""Applebee's Neighborhood Grill & Bar"", ""Arby's"", ""Chili's"", ""McDonald's"", 'Johnny Rockets', 'Wagamama', 'Charleys Philly Steaks', ""Jersey Mike's"", 'The Counter', 'Chipotle', 'Potbelly', 'Smashburger', 'Wasabi', ""Wendy's"", 'Olive Garden', 'Tim Hortons', 'Perkins', 'Red Lobster', 'Popeyes', 'KFC', 'IHOP', 'Hard Rock Cafe']"
Duane Reade,"['Walgreens', 'CVS Pharmacy', 'Rite Aid']",[]
CVS Pharmacy,"['Walgreens', 'Duane Reade', 'Rite Aid']",[]
Citibank,"['Apple Bank', 'Chase', 'Bank of America', 'Popular', 'Wells Fargo', 'Valley National Bank', 'Santander', 'Investors Bank', 'HSBC', 'Ridgewood Savings Bank', 'TD Bank']",[]
TD Bank,"['Apple Bank', 'Chase', 'Bank of America', 'Popular', 'Wells Fargo', 'Citibank', 'Santander', 'Investors Bank', 'HSBC', 'Ridgewood Savings Bank', 'Valley National Bank']",[]
T-Mobile,"['AT&T', 'Verizon', 'Sprint', 'Apple Store', 'Cricket Wireless', 'Best Buy', 'Metro by T-Mobile', 'Boost Mobile']",['Metro by T-Mobile']
7-Eleven,['Bolla Market'],"['Hess', ""Dave & Buster's"", 'Lidl', 'Exxon', 'Shell', 'Sunoco', 'Speedway', 'Mobil', 'Hudson']"
BP,"['ChargePoint', 'Shell', 'Sunoco', 'Gulf', 'Speedway', 'Citgo', 'Tesla Supercharger', 'Mobil', 'Exxon']",[]
Rite Aid,"['Walgreens', 'Duane Reade', 'CVS Pharmacy']",[]
Walgreens,"['Duane Reade', 'CVS Pharmacy', 'Rite Aid']","['Brooks Brothers', ""Nathan's"", 'Walgreens', 'Eileen Fisher', 'Barneys New York', 'CVS', 'Petco', 'Best Buy']"
List of New York Public Library Branches,"['New York Public Library', 'Little Free Library']","['New York City Fire Department', 'New York Public Library', 'Central Park Carousel', 'List of New York Public Library Branches', 'Times Square Ball', 'NYPD Harbor Unit', 'New York City Department of Education']"
Chipotle,"['Juice Generation', 'Golden Krust Caribbean Bakery & Grill', 'White Castle', 'Shake Shack', ""Dunkin'"", 'Juice Press', 'Dos Toros Taqueria', 'Subway', 'Sweetgreen', 'Panda Express', 'Bareburger', ""Dunkin' Donuts"", 'Texas Chicken & Burgers', 'Dig', 'Taco Bell', 'Five Guys', 'Just Salad', 'Pret A Manger', 'Burger King', ""Xi'an Famous Foods"", ""Papa John's"", ""Dunkin' Donuts/Baskin Robbins"", 'Panera Bread', ""Applebee's Neighborhood Grill & Bar"", 'Checkers', ""McDonald's"", 'Lenwich', ""Wendy's"", 'Gong Cha', 'Atomic Wings', 'IHOP']","[""Nathan's"", 'Burger King', 'BurgerFi', 'Smashburger', ""Papa John's"", ""Auntie Anne's"", 'Panera Bread', ""Wendy's"", 'White Castle', 'Shake Shack', 'Red Lobster', 'Qdoba', ""TGI Friday's"", 'KFC', 'Johnny Rockets', 'The Counter']"
Popeyes,"['KFC', 'Crown Fried Chicken', 'Chick-fil-A']","['Chick-fil-A', ""Nathan's"", 'Burger King', 'BurgerFi', 'Smashburger', ""Papa John's"", 'Panera Bread', ""Wendy's"", 'The Halal Guys', 'Buffalo Wild Wings', 'White Castle', 'Shake Shack', 'Pollo Campero', 'Wingstop', 'KFC', 'Johnny Rockets', 'The Counter']"
Metro by T-Mobile,"['AT&T', 'Verizon', 'Sprint', 'Apple Store', 'Cricket Wireless', 'Best Buy', 'Boost Mobile', 'T-Mobile']","['Verizon Wireless', 'AT&T', 'Cricket Wireless', 'Boost Mobile', 'T-Mobile']"
Mobil,"['ChargePoint', 'BP', 'Shell', 'Sunoco', 'Gulf', 'Speedway', 'Citgo', 'Tesla Supercharger', 'Exxon']",[]
New York Engine Company Number 83,"['New York City Fire Department', 'New York Ladder Company 153']",[]
Key Food,"['C-Town Supermarkets', 'Key Foods', 'Whole Foods Market', 'Foodtown', 'Stop & Shop', 'Gristedes', 'Ideal Food Basket', ""Trader Joe's"", 'Fine Fare', 'Bravo']","['Brooks Brothers', ""Nathan's"", 'Eileen Fisher', 'Barneys New York', 'Best Buy']"
Burger King,"['Juice Generation', 'Golden Krust Caribbean Bakery & Grill', 'White Castle', 'Shake Shack', ""Dunkin'"", 'Juice Press', 'Dos Toros Taqueria', 'Subway', 'Sweetgreen', 'Panda Express', 'Bareburger', ""Dunkin' Donuts"", 'Texas Chicken & Burgers', 'Dig', 'Taco Bell', 'Five Guys', 'Just Salad', 'Pret A Manger', ""Xi'an Famous Foods"", ""Papa John's"", ""Dunkin' Donuts/Baskin Robbins"", 'Panera Bread', ""Applebee's Neighborhood Grill & Bar"", 'Checkers', ""McDonald's"", 'Lenwich', 'Chipotle', ""Wendy's"", 'Gong Cha', 'Atomic Wings', 'IHOP']","['Little Caesars', 'Aroma Espresso Bar', 'White Castle', 'Shake Shack', 'Insomnia Cookies', ""Peet's Coffee"", 'Subway', 'Sweetgreen', 'Panda Express', 'Chick-fil-A', 'Jollibee', 'Krispy Kreme', ""Auntie Anne's"", ""Dunkin' Donuts"", 'The Halal Guys', 'Starbucks Reserve', 'Hooters', 'Au Bon Pain', 'Taco Bell', 'Five Guys', 'Baskin-Robbins', 'Cold Stone Creamery', 'Pizza Hut', ""Nathan's"", 'BurgerFi', 'Sbarro', ""Papa John's"", 'Panera Bread', ""Denny's"", ""Arby's"", ""McDonald's"", 'Boston Market', 'Johnny Rockets', 'Cinnabon', 'Wingstop', 'Checkers', ""Jersey Mike's"", 'The Counter', 'Carvel', 'Charleys Philly Steaks', 'Così', 'The Coffee Bean & Tea Leaf', 'Potbelly', 'Chipotle', 'Smashburger', ""Wendy's"", 'Häagen-Dazs', 'Pinkberry', 'Tim Hortons', ""Ben & Jerry's"", 'Red Mango', 'Qdoba', 'Popeyes', 'KFC', 'IHOP', 'Tropical Smoothie Cafe']"
AT&T,"['Verizon', 'Sprint', 'Apple Store', 'Cricket Wireless', 'Best Buy', 'Metro by T-Mobile', 'Boost Mobile', 'T-Mobile']",['Cricket Wireless']
Dunkin' Donuts,"['Juice Generation', 'Golden Krust Caribbean Bakery & Grill', 'White Castle', 'Shake Shack', ""Dunkin'"", 'Juice Press', 'Dos Toros Taqueria', 'Subway', 'Sweetgreen', 'Panda Express', 'Bareburger', 'Texas Chicken & Burgers', 'Dig', 'Taco Bell', 'Five Guys', 'Just Salad', 'Pret A Manger', 'Burger King', ""Xi'an Famous Foods"", ""Papa John's"", ""Dunkin' Donuts/Baskin Robbins"", 'Panera Bread', ""Applebee's Neighborhood Grill & Bar"", 'Checkers', ""McDonald's"", 'Lenwich', 'Chipotle', ""Wendy's"", 'Gong Cha', 'Atomic Wings', 'IHOP']","['Aroma Espresso Bar', 'White Castle', 'Shake Shack', 'Joe & The Juice', ""Peet's Coffee"", 'Krispy Kreme', ""Auntie Anne's"", 'Caffé Venice', 'Starbucks Reserve', 'Au Bon Pain', ""Nathan's"", 'Pret A Manger', 'BurgerFi', ""Papa John's"", 'Panera Bread', ""McDonald's"", 'Blue Bottle Coffee', 'Johnny Rockets', 'The Counter', 'The Coffee Bean & Tea Leaf', 'Smashburger', ""Wendy's"", 'Tim Hortons', 'La Colombe Coffee Roasters', 'KFC']"
C-Town Supermarkets,"['Key Foods', 'Whole Foods Market', 'Bravo', 'Foodtown', 'Stop & Shop', 'Gristedes', 'Ideal Food Basket', ""Trader Joe's"", 'Fine Fare', 'Key Food']",[]
Verizon,"['AT&T', 'Sprint', 'Apple Store', 'Cricket Wireless', 'Best Buy', 'Metro by T-Mobile', 'Boost Mobile', 'T-Mobile']",[]
Laundromat,[],[]
CityMD,['GoHealth Urgent Care'],[]
New York Ladder Company 153,"['New York City Fire Department', 'New York Engine Company Number 83']",[]
Little Free Library,"['New York Public Library', 'List of New York Public Library Branches']",[]
