Region,Nearby,Similar
Long Island City-Hunters Point_0,"['Murray Hill-Kips Bay_67', 'Upper East Side-Lenox Hill-Roosevelt Island_243', 'Long Island City-Hunters Point_1391', 'Long Island City-Hunters Point_1399', 'Long Island City-Hunters Point_2257', 'Long Island City-Hunters Point_2258', 'Long Island City-Hunters Point_2296', 'United Nations_2300', 'Long Island City-Hunters Point_2302']",[]
The Battery-Governors Island-Ellis Island-Liberty Island_1,[],[]
Chinatown-Two Bridges_2,"['Chinatown-Two Bridges_3', 'Lower East Side_5', 'Lower East Side_6', 'Lower East Side_7', 'Lower East Side_9', 'Lower East Side_19', 'Downtown Brooklyn-DUMBO-Boerum Hill_564', 'Chinatown-Two Bridges_2123', 'Lower East Side_2136', 'Lower East Side_2137']","['Harlem (North)_214', 'Melrose_285', 'Pelham Gardens_462', 'Glen Oaks-Floral Park-New Hyde Park_1991']"
Chinatown-Two Bridges_3,"['Chinatown-Two Bridges_2', 'Lower East Side_5', 'Lower East Side_6', 'Lower East Side_7', 'Lower East Side_9', 'Chinatown-Two Bridges_15', 'SoHo-Little Italy-Hudson Square_31', 'Downtown Brooklyn-DUMBO-Boerum Hill_564', 'Chinatown-Two Bridges_2027', 'Chinatown-Two Bridges_2028', 'Chinatown-Two Bridges_2122', 'Chinatown-Two Bridges_2123', 'Lower East Side_2136', 'Lower East Side_2137']",[]
Financial District-Battery Park City_4,"['Tribeca-Civic Center_8', 'Tribeca-Civic Center_21', 'Tribeca-Civic Center_23', 'Tribeca-Civic Center_28', 'Financial District-Battery Park City_2021', 'Financial District-Battery Park City_2025', 'Tribeca-Civic Center_2026', 'Financial District-Battery Park City_2029', 'Financial District-Battery Park City_2030', 'Financial District-Battery Park City_2041', 'Financial District-Battery Park City_2046', 'The Battery-Governors Island-Ellis Island-Liberty Island_2050']","['Midtown South-Flatiron-Union Square_42', 'Murray Hill-Kips Bay_70', 'Midtown-Times Square_78', 'Financial District-Battery Park City_2025', 'Financial District-Battery Park City_2029', 'Midtown-Times Square_2308']"
Lower East Side_5,"['Chinatown-Two Bridges_2', 'Chinatown-Two Bridges_3', 'Lower East Side_6', 'Lower East Side_7', 'Lower East Side_9', 'Lower East Side_19', 'Lower East Side_25', 'Lower East Side_2022', 'Chinatown-Two Bridges_2122', 'Chinatown-Two Bridges_2123', 'Lower East Side_2136', 'Lower East Side_2137', 'Lower East Side_2313']",[]
Lower East Side_6,"['Chinatown-Two Bridges_2', 'Chinatown-Two Bridges_3', 'Lower East Side_5', 'Lower East Side_7', 'Lower East Side_9', 'East Village_10', 'East Village_16', 'Lower East Side_19', 'East Village_20', 'East Village_22', 'Lower East Side_25', 'East Village_26', 'Chinatown-Two Bridges_2122', 'Chinatown-Two Bridges_2123', 'Lower East Side_2136', 'Lower East Side_2137', 'East Village_2152', 'Lower East Side_2313']",[]
Lower East Side_7,"['Chinatown-Two Bridges_2', 'Chinatown-Two Bridges_3', 'Lower East Side_5', 'Lower East Side_6', 'Lower East Side_9', 'East Village_10', 'East Village_16', 'Lower East Side_19', 'East Village_20', 'East Village_22', 'Lower East Side_25', 'East Village_26', 'SoHo-Little Italy-Hudson Square_31', 'SoHo-Little Italy-Hudson Square_32', 'SoHo-Little Italy-Hudson Square_33', 'SoHo-Little Italy-Hudson Square_35', 'Greenwich Village_39', 'Greenwich Village_40', 'East Village_2019', 'Tribeca-Civic Center_2026', 'Chinatown-Two Bridges_2028', 'Chinatown-Two Bridges_2122', 'Chinatown-Two Bridges_2123', 'Lower East Side_2136', 'Lower East Side_2137']","['Tribeca-Civic Center_23', 'East Village_29', 'Greenwich Village_46', 'Chelsea-Hudson Yards_87', 'Midtown-Times Square_100', ""Hell's Kitchen_120"", 'Williamsburg_993', 'East Village_2019']"
Tribeca-Civic Center_8,"['Financial District-Battery Park City_4', 'Tribeca-Civic Center_21', 'Tribeca-Civic Center_23', 'Tribeca-Civic Center_28', 'Financial District-Battery Park City_2025', 'Tribeca-Civic Center_2026', 'Chinatown-Two Bridges_2028', 'Financial District-Battery Park City_2029', 'Financial District-Battery Park City_2030', 'Financial District-Battery Park City_2041', 'Financial District-Battery Park City_2046']",[]
Lower East Side_9,"['Chinatown-Two Bridges_2', 'Chinatown-Two Bridges_3', 'Lower East Side_5', 'Lower East Side_6', 'Lower East Side_7', 'East Village_10', 'East Village_14', 'East Village_16', 'East Village_17', 'Lower East Side_19', 'East Village_20', 'East Village_22', 'Lower East Side_25', 'East Village_26', 'East Village_2019', 'Lower East Side_2022', 'Chinatown-Two Bridges_2123', 'Lower East Side_2136', 'Lower East Side_2137', 'East Village_2152', 'Lower East Side_2313']",[]
East Village_10,"['Lower East Side_6', 'Lower East Side_7', 'Lower East Side_9', 'East Village_14', 'East Village_16', 'East Village_17', 'East Village_18', 'Lower East Side_19', 'East Village_20', 'East Village_22', 'East Village_24', 'East Village_26', 'East Village_2019', 'Lower East Side_2022', 'Lower East Side_2137', 'East Village_2152', 'Lower East Side_2313']",[]
Williamsbridge-Olinville_11,"['Williamsbridge-Olinville_12', 'Williamsbridge-Olinville_13', 'Williamsbridge-Olinville_477', 'Williamsbridge-Olinville_479', 'Williamsbridge-Olinville_482', 'Williamsbridge-Olinville_491', 'Williamsbridge-Olinville_493', 'Williamsbridge-Olinville_494', 'Williamsbridge-Olinville_495', 'Williamsbridge-Olinville_503', 'Williamsbridge-Olinville_506', 'Wakefield-Woodlawn_512', 'Wakefield-Woodlawn_514', 'Wakefield-Woodlawn_517', 'Norwood_518', 'Norwood_521', 'Wakefield-Woodlawn_524', 'Woodlawn Cemetery_526', 'Wakefield-Woodlawn_533', 'Wakefield-Woodlawn_534', 'Wakefield-Woodlawn_535', 'Norwood_2148', 'Norwood_2149', 'Bronx Park_2289']","['Harlem (North)_196', 'Harlem (North)_213', 'Soundview-Clason Point_244', 'Mott Haven-Port Morris_256', 'Hunts Point_302', 'Claremont Park_341', 'Highbridge_365', 'Mount Hope_383', 'Mount Eden-Claremont (West)_388', 'Mount Hope_390', 'Mount Hope_392', 'University Heights (North)-Fordham_412', 'Riverdale-Spuyten Duyvil_439', 'Eastchester-Edenwald-Baychester_549', 'Bay Ridge_649', 'Borough Park_720', 'Lincoln Terrace Park_834', 'Mapleton-Midwood (West)_926', 'Sheepshead Bay-Manhattan Beach-Gerritsen Beach_1027', 'McGuire Fields_1072', 'Flatbush_1091', 'East Flatbush-Farragut_1098', 'East Flatbush-Farragut_1103', 'East Flatbush-Remsen Village_1168', 'Flatlands_1174', 'Canarsie_1188', 'Canarsie Park & Pier_1210', 'Shirley Chisholm State Park_1219', 'Spring Creek-Starrett City_1220', 'East New York (North)_1240', 'East New York (North)_1243', 'East New York (North)_1244', 'East New York-City Line_1262', 'East New York-City Line_1268', 'East New York-City Line_1272', 'St. George-New Brighton_1275', 'West New Brighton-Silver Lake-Grymes Hill_1290', 'West New Brighton-Silver Lake-Grymes Hill_1298', ""Annadale-Huguenot-Prince's Bay-Woodrow_1326"", 'Arden Heights-Rossville_1329', ""Annadale-Huguenot-Prince's Bay-Woodrow_1333"", 'Claremont Village-Claremont (East)_1351', 'Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights_1384', 'South Ozone Park_1442', 'Astoria (North)-Ditmars-Steinway_1443', 'Richmond Hill_1473', 'St. Albans_1639', 'Elmhurst_1664', 'Elmhurst_1670', 'Ridgewood_1724', 'Queens Village_1749', 'Glendale_1783', 'Forest Hills_1825', 'Flushing-Willets Point_1847', 'South Ozone Park_1857', 'Jacob Riis Park-Fort Tilden-Breezy Point Tip_1873', 'Rockaway Community Park_1897', 'Fort Totten_1905', 'Far Rockaway-Bayswater_1912', 'Whitestone-Beechhurst_1916', 'Murray Hill-Broadway Flushing_1918', 'Murray Hill-Broadway Flushing_1919', 'Breezy Point-Belle Harbor-Rockaway Park-Broad Channel_1920', 'Murray Hill-Broadway Flushing_1928', 'East Flushing_1944', 'Cunningham Park_1959', 'University Heights (South)-Morris Heights_2001', 'Bath Beach_2044', 'Douglaston-Little Neck_2059', 'St. Albans_2071', 'St. Albans_2072', 'Prospect Lefferts Gardens-Wingate_2086', 'Highbridge_2096', 'Parkchester_2105', 'Springfield Gardens (South)-Brookville_2163', 'Hunts Point_2172', ""Mariner's Harbor-Arlington-Graniteville_2185"", 'Whitestone-Beechhurst_2220', 'Kew Gardens_2271', 'Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights_2324']"
Williamsbridge-Olinville_12,"['Williamsbridge-Olinville_11', 'Williamsbridge-Olinville_13', 'Allerton_453', 'Williamsbridge-Olinville_454', 'Allerton_455', 'Williamsbridge-Olinville_456', 'Allerton_457', 'Williamsbridge-Olinville_477', 'Williamsbridge-Olinville_479', 'Williamsbridge-Olinville_482', 'Williamsbridge-Olinville_491', 'Williamsbridge-Olinville_493', 'Norwood_518', 'Norwood_521', 'Woodlawn Cemetery_526', 'Norwood_2148', 'Norwood_2149', 'Norwood_2204', 'Bronx Park_2289']",[]
Williamsbridge-Olinville_13,"['Williamsbridge-Olinville_11', 'Williamsbridge-Olinville_12', 'Williamsbridge-Olinville_477', 'Williamsbridge-Olinville_479', 'Williamsbridge-Olinville_482', 'Williamsbridge-Olinville_491', 'Williamsbridge-Olinville_493', 'Williamsbridge-Olinville_494', 'Williamsbridge-Olinville_495', 'Norwood_521', 'Woodlawn Cemetery_526', 'Norwood_2148', 'Norwood_2149', 'Bronx Park_2289']",[]
East Village_14,"['Lower East Side_9', 'East Village_10', 'East Village_16', 'East Village_17', 'East Village_18', 'East Village_22', 'East Village_24', 'Williamsburg_990', 'Williamsburg_993', 'Williamsburg_994', 'Williamsburg_996', 'Stuyvesant Town-Peter Cooper Village_2032', 'Stuyvesant Town-Peter Cooper Village_2033', 'East Village_2152', 'Lower East Side_2313', 'Williamsburg_2314']",[]
Chinatown-Two Bridges_15,"['Chinatown-Two Bridges_3', 'Tribeca-Civic Center_21', 'SoHo-Little Italy-Hudson Square_31', 'Downtown Brooklyn-DUMBO-Boerum Hill_564', 'Financial District-Battery Park City_2025', 'Tribeca-Civic Center_2026', 'Chinatown-Two Bridges_2027', 'Chinatown-Two Bridges_2028', 'Financial District-Battery Park City_2030', 'Chinatown-Two Bridges_2122', 'Chinatown-Two Bridges_2123']",[]
East Village_16,"['Lower East Side_6', 'Lower East Side_7', 'Lower East Side_9', 'East Village_10', 'East Village_14', 'East Village_17', 'East Village_18', 'Lower East Side_19', 'East Village_20', 'East Village_22', 'East Village_24', 'East Village_26', 'East Village_29', 'East Village_2019', 'Lower East Side_2022', 'Lower East Side_2137', 'East Village_2152', 'Lower East Side_2313']",['Crotona Park East_328']
East Village_17,"['Lower East Side_9', 'East Village_10', 'East Village_14', 'East Village_16', 'East Village_18', 'Lower East Side_19', 'East Village_20', 'East Village_22', 'East Village_24', 'East Village_29', 'East Village_2019', 'Stuyvesant Town-Peter Cooper Village_2032', 'East Village_2152', 'Lower East Side_2313']",[]
East Village_18,"['East Village_10', 'East Village_14', 'East Village_16', 'East Village_17', 'East Village_20', 'East Village_22', 'East Village_24', 'East Village_29', 'East Village_2019', 'Gramercy_2031', 'Stuyvesant Town-Peter Cooper Village_2032', 'Stuyvesant Town-Peter Cooper Village_2033', 'East Village_2152']",[]
Lower East Side_19,"['Chinatown-Two Bridges_2', 'Lower East Side_5', 'Lower East Side_6', 'Lower East Side_7', 'Lower East Side_9', 'East Village_10', 'East Village_16', 'East Village_17', 'East Village_20', 'East Village_22', 'Lower East Side_25', 'East Village_26', 'SoHo-Little Italy-Hudson Square_31', 'SoHo-Little Italy-Hudson Square_32', 'Greenwich Village_40', 'East Village_2019', 'Chinatown-Two Bridges_2123', 'Lower East Side_2136', 'Lower East Side_2137']","['Greenwich Village_40', 'Downtown Brooklyn-DUMBO-Boerum Hill_558', 'Fort Greene_567', 'Downtown Brooklyn-DUMBO-Boerum Hill_599', 'Park Slope_637', 'Bedford-Stuyvesant (West)_725', 'Williamsburg_993', 'Park Slope_2209']"
East Village_20,"['Lower East Side_6', 'Lower East Side_7', 'Lower East Side_9', 'East Village_10', 'East Village_16', 'East Village_17', 'East Village_18', 'Lower East Side_19', 'East Village_22', 'East Village_24', 'Lower East Side_25', 'East Village_26', 'East Village_29', 'East Village_30', 'SoHo-Little Italy-Hudson Square_32', 'Greenwich Village_40', 'East Village_2018', 'East Village_2019', 'Greenwich Village_2020', 'Lower East Side_2137']",[]
Tribeca-Civic Center_21,"['Financial District-Battery Park City_4', 'Tribeca-Civic Center_8', 'Chinatown-Two Bridges_15', 'Tribeca-Civic Center_23', 'SoHo-Little Italy-Hudson Square_27', 'Tribeca-Civic Center_28', 'SoHo-Little Italy-Hudson Square_31', 'SoHo-Little Italy-Hudson Square_32', 'SoHo-Little Italy-Hudson Square_33', 'SoHo-Little Italy-Hudson Square_34', 'SoHo-Little Italy-Hudson Square_35', 'Financial District-Battery Park City_2025', 'Tribeca-Civic Center_2026', 'Chinatown-Two Bridges_2027', 'Chinatown-Two Bridges_2028', 'Financial District-Battery Park City_2029', 'Financial District-Battery Park City_2030', 'Chinatown-Two Bridges_2122', 'Chinatown-Two Bridges_2123']",[]
East Village_22,"['Lower East Side_6', 'Lower East Side_7', 'Lower East Side_9', 'East Village_10', 'East Village_14', 'East Village_16', 'East Village_17', 'East Village_18', 'Lower East Side_19', 'East Village_20', 'East Village_24', 'Lower East Side_25', 'East Village_26', 'East Village_29', 'East Village_30', 'Greenwich Village_40', 'East Village_2018', 'East Village_2019', 'Greenwich Village_2020', 'Gramercy_2031', 'Stuyvesant Town-Peter Cooper Village_2032', 'Lower East Side_2137', 'East Village_2152']","['Greenwich Village_46', 'West Village_48', 'East Midtown-Turtle Bay_80', ""Hell's Kitchen_120"", 'Downtown Brooklyn-DUMBO-Boerum Hill_564', 'East Village_2019']"
Tribeca-Civic Center_23,"['Financial District-Battery Park City_4', 'Tribeca-Civic Center_8', 'Tribeca-Civic Center_21', 'SoHo-Little Italy-Hudson Square_27', 'Tribeca-Civic Center_28', 'SoHo-Little Italy-Hudson Square_31', 'SoHo-Little Italy-Hudson Square_32', 'SoHo-Little Italy-Hudson Square_33', 'SoHo-Little Italy-Hudson Square_34', 'SoHo-Little Italy-Hudson Square_35', 'West Village_50', 'Financial District-Battery Park City_2025', 'Tribeca-Civic Center_2026', 'Chinatown-Two Bridges_2027', 'Chinatown-Two Bridges_2028', 'Financial District-Battery Park City_2030', 'Financial District-Battery Park City_2041']","['Lower East Side_7', 'Midtown South-Flatiron-Union Square_41', 'West Village_53', 'East Midtown-Turtle Bay_74', 'Chelsea-Hudson Yards_87', ""Hell's Kitchen_108"", ""Hell's Kitchen_120"", 'East Village_2019', 'Chinatown-Two Bridges_2123', ""Hell's Kitchen_2309""]"
East Village_24,"['East Village_10', 'East Village_14', 'East Village_16', 'East Village_17', 'East Village_18', 'East Village_20', 'East Village_22', 'East Village_26', 'East Village_29', 'East Village_30', 'Gramercy_36', 'East Village_2018', 'East Village_2019', 'Gramercy_2031', 'Stuyvesant Town-Peter Cooper Village_2032', 'Stuyvesant Town-Peter Cooper Village_2033', 'Gramercy_2034']",[]
Lower East Side_25,"['Lower East Side_5', 'Lower East Side_6', 'Lower East Side_7', 'Lower East Side_9', 'Lower East Side_19', 'East Village_20', 'East Village_22', 'East Village_26', 'SoHo-Little Italy-Hudson Square_31', 'SoHo-Little Italy-Hudson Square_32', 'SoHo-Little Italy-Hudson Square_33', 'SoHo-Little Italy-Hudson Square_35', 'Greenwich Village_39', 'Greenwich Village_40', 'East Village_2018', 'East Village_2019', 'Greenwich Village_2020', 'Chinatown-Two Bridges_2123']",[]
East Village_26,"['Lower East Side_6', 'Lower East Side_7', 'Lower East Side_9', 'East Village_10', 'East Village_16', 'Lower East Side_19', 'East Village_20', 'East Village_22', 'East Village_24', 'Lower East Side_25', 'East Village_29', 'East Village_30', 'SoHo-Little Italy-Hudson Square_31', 'SoHo-Little Italy-Hudson Square_32', 'SoHo-Little Italy-Hudson Square_33', 'SoHo-Little Italy-Hudson Square_35', 'Greenwich Village_39', 'Greenwich Village_40', 'Greenwich Village_43', 'East Village_2018', 'East Village_2019', 'Greenwich Village_2020']",[]
SoHo-Little Italy-Hudson Square_27,"['Tribeca-Civic Center_21', 'Tribeca-Civic Center_23', 'Tribeca-Civic Center_28', 'SoHo-Little Italy-Hudson Square_33', 'SoHo-Little Italy-Hudson Square_34', 'SoHo-Little Italy-Hudson Square_35', 'Greenwich Village_39', 'Greenwich Village_46', 'West Village_48', 'West Village_50', 'West Village_53', 'West Village_55', 'West Village_57']",[]
Tribeca-Civic Center_28,"['Financial District-Battery Park City_4', 'Tribeca-Civic Center_8', 'Tribeca-Civic Center_21', 'Tribeca-Civic Center_23', 'SoHo-Little Italy-Hudson Square_27', 'SoHo-Little Italy-Hudson Square_34', 'SoHo-Little Italy-Hudson Square_35', 'West Village_48', 'West Village_50', 'Financial District-Battery Park City_2025', 'Financial District-Battery Park City_2041']",[]
East Village_29,"['East Village_16', 'East Village_17', 'East Village_18', 'East Village_20', 'East Village_22', 'East Village_24', 'East Village_26', 'East Village_30', 'Gramercy_36', 'Greenwich Village_40', 'Greenwich Village_43', 'Greenwich Village_44', 'East Village_2018', 'East Village_2019', 'Greenwich Village_2020', 'Gramercy_2031', 'Stuyvesant Town-Peter Cooper Village_2032', 'Stuyvesant Town-Peter Cooper Village_2033', 'Gramercy_2034']","['Lower East Side_7', ""Hell's Kitchen_120"", 'Williamsburg_993', 'East Village_2019']"
