Brand,Competitive,Related
UOB,"['POSB', 'Citibank']","['ANZ', 'Maybank', 'NTUC Fairprice', 'State Bank of India', 'Standard Chartered', 'BNP Paribas', 'Oversea-Chinse Banking Corporation Ltd', 'BOC', 'Citibank', 'HSBC', 'Bank of China', 'DBS', 'POSB']"
7-Eleven,"['Cheers', 'Phoon Huat']","['Esso', 'Shell Select', 'NTUC Fairprice', 'Caltex']"
NTUC Fairprice,"['Ang Mo', 'Cold Storage', 'Giant', 'Don Don Donki', 'Prime', 'Prime Supermarket', 'Hao Mart', 'U Stars Supermarket', 'Sheng Siong']",[]
Starbucks,"['The Coffee Bean & Tea Leaf', 'Fun Toast', 'Ya Kun Kaya Toast', 'Heavenly Wang', 'Toast Box', 'Killiney', 'Coffee Shop', 'Ya Kun Family Cafe']","['Nespresso', 'A&W', 'The Coffee Bean & Tea Leaf', 'Burger King', 'Krispy Kreme', 'Guzman y Gomez', 'McCafé', 'Toast Box', 'MOS Burger', ""Carl's Jr."", 'Bank of China', ""Dunkin'"", 'Costa', 'Shake Shack', ""McDonald's"", 'Joe & The Juice', 'KFC', 'Ya Kun Kaya Toast']"
McDonald's,"['Saizeriya', 'Canadian Pizza', 'Old Chang Kee', 'MOS Burger', 'LiHO Tea', 'Subway', 'Crystal Jade', 'Genki Sushi', 'Pizza Hut', 'Burger King', ""Domino's"", 'Ichiban Boshi', 'KOI Express', 'Din Tai Fung', 'Tim Ho Wan', 'Gong Cha', 'Monster Curry', 'Cedele', 'KOI Thé', 'LiHO', 'Sushi Express']","['Little Caesars', 'Yoshinoya', 'Old Chang Kee', 'MOS Burger', 'Shake Shack', ""Dunkin'"", 'Joe & The Juice', 'A&W', 'Ajisen Ramen', 'Jollibee', 'Krispy Kreme', 'Wing Stop', 'PizzaExpress', ""Long John Silver's"", 'Costa', 'Outback Steakhouse', 'Guzman y Gomez', 'Five Guys', 'Baskin-Robbins', 'Cold Stone Creamery', 'Pizza Hut', 'Starbucks', 'Burger King', ""Domino's"", '4Fingers Crispy Chicken', 'Toast Box', ""Carl's Jr."", 'Bonchon Chicken', 'Texas Chicken', 'The Coffee Bean & Tea Leaf', 'Pepper Lunch', 'McCafé', ""Nando's"", 'Häagen-Dazs', ""Ben & Jerry's"", ""Swensen's"", 'Popeyes', 'KFC']"
Toast Box,"['Starbucks', 'The Coffee Bean & Tea Leaf', 'Fun Toast', 'Ya Kun Kaya Toast', 'Heavenly Wang', 'Killiney', 'Coffee Shop', 'Ya Kun Family Cafe']","['Starbucks', 'Jollibee', 'Delifrance', 'Krispy Kreme', ""Domino's"", 'Udders', 'MOS Burger', ""Dunkin'"", 'Bee Cheng Hiang', 'Bengawan Solo', ""McDonald's"", 'Ya Kun Kaya Toast']"
KFC,"['Qiji', 'Food court', 'Kim San Leng Food Centre', 'Pit 6', 'Paradise Dynasty', 'Souperstar', 'Canteen', 'Pastamania', 'Pit 07C', 'Kopitiam', 'Pit 20C', ""Long John Silver's"", 'Teh Tarik Time', 'Hawker Centre', 'Koufu', ""Han's"", 'Encik Tan', 'Food Junction', 'Pit 04B', 'Bak kut teh', 'Mr Bean', 'The Soup Spoon', 'Foodfare', 'Pit 03B', ""Swensen's"", 'Food Republic', 'Tiong Bahru Bakery', 'Pit 05B']","['Little Caesars', 'Yoshinoya', 'Old Chang Kee', 'MOS Burger', 'Shake Shack', ""Dunkin'"", 'A&W', 'Ajisen Ramen', 'Jollibee', 'Krispy Kreme', 'Wing Stop', 'PizzaExpress', ""Long John Silver's"", 'Outback Steakhouse', 'Guzman y Gomez', 'Five Guys', 'Baskin-Robbins', 'Cold Stone Creamery', 'Pizza Hut', 'Starbucks', 'Burger King', ""Domino's"", '4Fingers Crispy Chicken', ""Carl's Jr."", ""McDonald's"", 'Bonchon Chicken', 'Texas Chicken', 'The Coffee Bean & Tea Leaf', 'Pepper Lunch', ""Nando's"", 'Häagen-Dazs', ""Ben & Jerry's"", ""Swensen's"", 'Popeyes']"
The Coffee Bean & Tea Leaf,"['Starbucks', 'Fun Toast', 'Ya Kun Kaya Toast', 'Heavenly Wang', 'Toast Box', 'Killiney', 'Coffee Shop', 'Ya Kun Family Cafe']","['A&W', 'Starbucks', 'Burger King', 'Krispy Kreme', 'McCafé', ""Carl's Jr."", 'Costa', ""Dunkin'"", 'Shake Shack', ""McDonald's"", 'Joe & The Juice', 'Ya Kun Kaya Toast']"
Subway,"['Saizeriya', 'Canadian Pizza', 'Old Chang Kee', 'MOS Burger', 'LiHO Tea', 'Crystal Jade', 'Genki Sushi', 'Pizza Hut', 'Burger King', ""Domino's"", 'Ichiban Boshi', 'KOI Express', ""McDonald's"", 'Din Tai Fung', 'Tim Ho Wan', 'Gong Cha', 'Monster Curry', 'Cedele', 'KOI Thé', 'LiHO', 'Sushi Express']",[]
Cheers,"['7-Eleven', 'Phoon Huat']",[]
OCBC,"['Maybank', 'HSBC', 'DBS', 'Standard Chartered']",[]
Guardian,"['Unity', 'Watsons']",[]
Ya Kun Kaya Toast,"['Starbucks', 'The Coffee Bean & Tea Leaf', 'Fun Toast', 'Heavenly Wang', 'Toast Box', 'Killiney', 'Coffee Shop', 'Ya Kun Family Cafe']","['Krispy Kreme', 'McCafé', 'Costa', ""Dunkin'"", 'Joe & The Juice']"
Esso,"['SPC', 'Shell', 'Caltex']",[]
Sheng Siong,"['Ang Mo', 'NTUC Fairprice', 'Cold Storage', 'Giant', 'Don Don Donki', 'Prime', 'Prime Supermarket', 'Hao Mart', 'U Stars Supermarket']",[]
Singapore Post,[],[]
Shell,"['SPC', 'Esso', 'Caltex']",[]
Watsons,"['Guardian', 'Unity']",['Sephora']
POSB,"['UOB', 'Citibank']",['DBS']
Kopitiam,"['Qiji', 'Food court', 'Kim San Leng Food Centre', 'Pit 6', 'Paradise Dynasty', 'Souperstar', 'Canteen', 'Pastamania', 'Pit 07C', 'Pit 20C', ""Long John Silver's"", 'Teh Tarik Time', 'Hawker Centre', 'Koufu', ""Han's"", 'Encik Tan', 'Food Junction', 'Pit 04B', 'Bak kut teh', 'Mr Bean', 'The Soup Spoon', 'Foodfare', 'Pit 03B', ""Swensen's"", 'KFC', 'Food Republic', 'Tiong Bahru Bakery', 'Pit 05B']","['Food Republic', 'Koufu']"
Giant,"['Ang Mo', 'NTUC Fairprice', 'Cold Storage', 'Don Don Donki', 'Prime', 'Prime Supermarket', 'Hao Mart', 'U Stars Supermarket', 'Sheng Siong']",[]
Bata,"['Skechers', 'Charles & Keith']",[]
Burger King,"['Saizeriya', 'Canadian Pizza', 'Old Chang Kee', 'MOS Burger', 'LiHO Tea', 'Subway', 'Crystal Jade', 'Genki Sushi', 'Pizza Hut', ""Domino's"", 'Ichiban Boshi', 'KOI Express', ""McDonald's"", 'Din Tai Fung', 'Tim Ho Wan', 'Gong Cha', 'Monster Curry', 'Cedele', 'KOI Thé', 'LiHO', 'Sushi Express']","['Little Caesars', 'Yoshinoya', 'MOS Burger', 'Shake Shack', ""Dunkin'"", 'A&W', 'Jollibee', 'Krispy Kreme', 'Wing Stop', ""Long John Silver's"", 'Five Guys', 'Baskin-Robbins', 'Cold Stone Creamery', 'Pizza Hut', 'Starbucks', ""Domino's"", ""Carl's Jr."", ""McDonald's"", 'Texas Chicken', 'The Coffee Bean & Tea Leaf', 'Häagen-Dazs', ""Ben & Jerry's"", 'Popeyes', 'KFC']"
Cold Storage,"['Ang Mo', 'NTUC Fairprice', 'Giant', 'Don Don Donki', 'Prime', 'Prime Supermarket', 'Hao Mart', 'U Stars Supermarket', 'Sheng Siong']",[]
DBS,"['Maybank', 'HSBC', 'Standard Chartered', 'OCBC']","['Maybank', 'State Bank of India', 'BOC']"
Pizza Hut,"['Saizeriya', 'Canadian Pizza', 'Old Chang Kee', 'MOS Burger', 'LiHO Tea', 'Subway', 'Crystal Jade', 'Genki Sushi', 'Burger King', ""Domino's"", 'Ichiban Boshi', 'KOI Express', ""McDonald's"", 'Din Tai Fung', 'Tim Ho Wan', 'Gong Cha', 'Monster Curry', 'Cedele', 'KOI Thé', 'LiHO', 'Sushi Express']","['A&W', 'Little Caesars', ""Domino's"", 'PizzaExpress', 'MOS Burger', ""Carl's Jr."", 'Shake Shack', 'Guzman y Gomez']"
Fitness Corner,['Anytime Fitness'],[]
The Body Shop,"['Sasa', 'Sephora', 'Etude House']",[]
KOI Thé,"['Saizeriya', 'Canadian Pizza', 'Old Chang Kee', 'MOS Burger', 'LiHO Tea', 'Subway', 'Crystal Jade', 'Genki Sushi', 'Pizza Hut', 'Burger King', ""Domino's"", 'Ichiban Boshi', 'KOI Express', ""McDonald's"", 'Din Tai Fung', 'Tim Ho Wan', 'Gong Cha', 'Monster Curry', 'Cedele', 'LiHO', 'Sushi Express']",[]
Cotton On,"['Uniqlo', 'Mango', 'H&M']",[]
SPC,"['Esso', 'Shell', 'Caltex']",[]
Domino's,"['Saizeriya', 'Canadian Pizza', 'Old Chang Kee', 'MOS Burger', 'LiHO Tea', 'Subway', 'Crystal Jade', 'Genki Sushi', 'Pizza Hut', 'Burger King', 'Ichiban Boshi', 'KOI Express', ""McDonald's"", 'Din Tai Fung', 'Tim Ho Wan', 'Gong Cha', 'Monster Curry', 'Cedele', 'KOI Thé', 'LiHO', 'Sushi Express']","['A&W', 'Little Caesars', 'MOS Burger', ""Carl's Jr."", 'Shake Shack']"
MOS Burger,"['Saizeriya', 'Canadian Pizza', 'Old Chang Kee', 'LiHO Tea', 'Subway', 'Crystal Jade', 'Genki Sushi', 'Pizza Hut', 'Burger King', ""Domino's"", 'Ichiban Boshi', 'KOI Express', ""McDonald's"", 'Din Tai Fung', 'Tim Ho Wan', 'Gong Cha', 'Monster Curry', 'Cedele', 'KOI Thé', 'LiHO', 'Sushi Express']","['Saizeriya', 'Little Caesars', 'Delifrance', 'Yoshinoya', 'MOS Burger', 'Shake Shack', ""Dunkin'"", 'Joe & The Juice', 'A&W', 'Jollibee', 'Krispy Kreme', 'PizzaExpress', ""Long John Silver's"", 'Costa', 'Outback Steakhouse', 'Guzman y Gomez', 'Five Guys', 'Pizza Hut', 'Starbucks', 'Burger King', ""Domino's"", ""Carl's Jr."", ""McDonald's"", 'IPPUDO', 'Bonchon Chicken', 'Din Tai Fung', 'Texas Chicken', ""Nando's"", ""Swensen's"", 'Popeyes', 'KFC', 'Hard Rock Cafe']"
Old Chang Kee,"['Saizeriya', 'Canadian Pizza', 'MOS Burger', 'LiHO Tea', 'Subway', 'Crystal Jade', 'Genki Sushi', 'Pizza Hut', 'Burger King', ""Domino's"", 'Ichiban Boshi', 'KOI Express', ""McDonald's"", 'Din Tai Fung', 'Tim Ho Wan', 'Gong Cha', 'Monster Curry', 'Cedele', 'KOI Thé', 'LiHO', 'Sushi Express']",[]
Hotel 81,"['Fragrance Hotel', 'Hotel Clover']",[]
Charles & Keith,"['Bata', 'Skechers']",[]
Koufu,"['Qiji', 'Food court', 'Kim San Leng Food Centre', 'Pit 6', 'Paradise Dynasty', 'Souperstar', 'Canteen', 'Pastamania', 'Pit 07C', 'Kopitiam', 'Pit 20C', ""Long John Silver's"", 'Teh Tarik Time', 'Hawker Centre', ""Han's"", 'Encik Tan', 'Food Junction', 'Pit 04B', 'Bak kut teh', 'Mr Bean', 'The Soup Spoon', 'Foodfare', 'Pit 03B', ""Swensen's"", 'KFC', 'Food Republic', 'Tiong Bahru Bakery', 'Pit 05B']","['Food Republic', 'Kopitiam']"
Uniqlo,"['H&M', 'Mango', 'Cotton On']",['Sony']
U Stars Supermarket,"['Ang Mo', 'NTUC Fairprice', 'Cold Storage', 'Giant', 'Don Don Donki', 'Prime', 'Prime Supermarket', 'Hao Mart', 'Sheng Siong']",[]
Din Tai Fung,"['Saizeriya', 'Canadian Pizza', 'Old Chang Kee', 'MOS Burger', 'LiHO Tea', 'Subway', 'Crystal Jade', 'Genki Sushi', 'Pizza Hut', 'Burger King', ""Domino's"", 'Ichiban Boshi', 'KOI Express', ""McDonald's"", 'Tim Ho Wan', 'Gong Cha', 'Monster Curry', 'Cedele', 'KOI Thé', 'LiHO', 'Sushi Express']","['Hui Lau Shan', ""Nando's"", 'Gong Cha', 'Guzman y Gomez', 'Hard Rock Cafe']"
Singapore Pools,[],[]
Citibank,"['UOB', 'POSB']",['Bank of China']
Fragrance Hotel,"['Hotel 81', 'Hotel Clover']",[]
Popular,[],[]
Food court,"['Qiji', 'Kim San Leng Food Centre', 'Pit 6', 'Paradise Dynasty', 'Souperstar', 'Canteen', 'Pastamania', 'Pit 07C', 'Kopitiam', 'Pit 20C', ""Long John Silver's"", 'Teh Tarik Time', 'Hawker Centre', 'Koufu', ""Han's"", 'Encik Tan', 'Food Junction', 'Pit 04B', 'Bak kut teh', 'Mr Bean', 'The Soup Spoon', 'Foodfare', 'Pit 03B', ""Swensen's"", 'KFC', 'Food Republic', 'Tiong Bahru Bakery', 'Pit 05B']",[]
City Chain,"['The Hour Glass', 'Swarovski', 'CASIO', 'Pandora', 'Swatch', 'Rolex']",[]
BreadTalk,"['Prima Deli', 'Chateraise', 'Bengawan Solo', 'Four Leaves']",[]
Pet Lovers Centre,[],[]
Mr Bean,"['Qiji', 'Food court', 'Kim San Leng Food Centre', 'Pit 6', 'Paradise Dynasty', 'Souperstar', 'Canteen', 'Pastamania', 'Pit 07C', 'Kopitiam', 'Pit 20C', ""Long John Silver's"", 'Teh Tarik Time', 'Hawker Centre', 'Koufu', ""Han's"", 'Encik Tan', 'Food Junction', 'Pit 04B', 'Bak kut teh', 'The Soup Spoon', 'Foodfare', 'Pit 03B', ""Swensen's"", 'KFC', 'Food Republic', 'Tiong Bahru Bakery', 'Pit 05B']",[]
Caltex,"['SPC', 'Esso', 'Shell']",[]
Q&M Dental Surgery,[],[]
Pit 03B,"['Qiji', 'Food court', 'Kim San Leng Food Centre', 'Pit 6', 'Paradise Dynasty', 'Souperstar', 'Canteen', 'Pastamania', 'Pit 07C', 'Kopitiam', 'Pit 20C', ""Long John Silver's"", 'Teh Tarik Time', 'Hawker Centre', 'Koufu', ""Han's"", 'Encik Tan', 'Food Junction', 'Pit 04B', 'Bak kut teh', 'Mr Bean', 'The Soup Spoon', 'Foodfare', ""Swensen's"", 'KFC', 'Food Republic', 'Tiong Bahru Bakery', 'Pit 05B']",[]
Pandora,"['The Hour Glass', 'Swarovski', 'CASIO', 'City Chain', 'Swatch', 'Rolex']",[]
Hotel Clover,"['Hotel 81', 'Fragrance Hotel']",[]
LiHO,"['Saizeriya', 'Canadian Pizza', 'Old Chang Kee', 'MOS Burger', 'LiHO Tea', 'Subway', 'Crystal Jade', 'Genki Sushi', 'Pizza Hut', 'Burger King', ""Domino's"", 'Ichiban Boshi', 'KOI Express', ""McDonald's"", 'Din Tai Fung', 'Tim Ho Wan', 'Gong Cha', 'Monster Curry', 'Cedele', 'KOI Thé', 'Sushi Express']",[]
Food Republic,"['Qiji', 'Food court', 'Kim San Leng Food Centre', 'Pit 6', 'Paradise Dynasty', 'Souperstar', 'Canteen', 'Pastamania', 'Pit 07C', 'Kopitiam', 'Pit 20C', ""Long John Silver's"", 'Teh Tarik Time', 'Hawker Centre', 'Koufu', ""Han's"", 'Encik Tan', 'Food Junction', 'Pit 04B', 'Bak kut teh', 'Mr Bean', 'The Soup Spoon', 'Foodfare', 'Pit 03B', ""Swensen's"", 'KFC', 'Tiong Bahru Bakery', 'Pit 05B']",[]
Gong Cha,"['Saizeriya', 'Canadian Pizza', 'Old Chang Kee', 'MOS Burger', 'LiHO Tea', 'Subway', 'Crystal Jade', 'Genki Sushi', 'Pizza Hut', 'Burger King', ""Domino's"", 'Ichiban Boshi', 'KOI Express', ""McDonald's"", 'Din Tai Fung', 'Tim Ho Wan', 'Monster Curry', 'Cedele', 'KOI Thé', 'LiHO', 'Sushi Express']",['Din Tai Fung']
