Region,Nearby,Similar
region-1,"['region-1', 'region-331', 'region-570', 'region-576', 'region-1758', 'region-1806', 'region-1831', 'region-1853', 'region-1856', 'region-1894', 'region-1922', 'region-1925']",[]
region-2,"['region-2', 'region-13', 'region-15', 'region-25', 'region-92', 'region-127', 'region-1534', 'region-1689', 'region-1838', 'region-1845', 'region-1854', 'region-2032']",[]
region-3,"['region-3', 'region-26', 'region-455', 'region-881', 'region-1115', 'region-1158', 'region-1191', 'region-1256', 'region-1267', 'region-1328', 'region-1385', 'region-1469', 'region-1610', 'region-1627', 'region-1867', 'region-1897', 'region-1923', 'region-1937', 'region-1956']",[]
region-4,"['region-4', 'region-1204', 'region-1953', 'region-2007', 'region-2029']",[]
region-5,"['region-5', 'region-59', 'region-89', 'region-131', 'region-140', 'region-149', 'region-164', 'region-187', 'region-210', 'region-223', 'region-229', 'region-236', 'region-361', 'region-511', 'region-1430', 'region-1433', 'region-1731', 'region-1741', 'region-1778', 'region-1792', 'region-1818', 'region-1832', 'region-2035']",[]
region-6,"['region-6', 'region-54', 'region-76', 'region-365', 'region-393', 'region-1776', 'region-1803', 'region-1822', 'region-1845', 'region-1987']",[]
region-7,"['region-7', 'region-61', 'region-383', 'region-572', 'region-695', 'region-1145', 'region-1170', 'region-1223', 'region-1240', 'region-1892', 'region-1949', 'region-1963', 'region-1981', 'region-2028']",[]
region-8,"['region-8', 'region-52', 'region-166', 'region-222', 'region-1883', 'region-1973', 'region-1993']",[]
region-9,"['region-9', 'region-119', 'region-141', 'region-174', 'region-216', 'region-827', 'region-973', 'region-984', 'region-1241', 'region-1251', 'region-1312', 'region-1544', 'region-1593', 'region-1702', 'region-1869', 'region-1879', 'region-1965']",[]
region-10,"['region-10', 'region-14', 'region-16', 'region-56', 'region-308', 'region-588', 'region-752', 'region-1754', 'region-1781', 'region-1877', 'region-2008']",[]
region-11,"['region-11', 'region-649', 'region-817', 'region-915', 'region-946', 'region-968', 'region-1013', 'region-1612', 'region-1657', 'region-1664', 'region-1890', 'region-1917', 'region-1956', 'region-2036']",[]
region-12,"['region-12', 'region-245', 'region-500', 'region-527', 'region-580', 'region-1274', 'region-1280', 'region-1311', 'region-1315', 'region-1950', 'region-1968', 'region-1996', 'region-1999']",[]
region-13,"['region-2', 'region-13', 'region-15', 'region-25', 'region-92', 'region-127', 'region-240', 'region-1534', 'region-1689', 'region-1838', 'region-1845', 'region-1854', 'region-2032']",[]
region-14,"['region-10', 'region-14', 'region-97', 'region-167', 'region-296', 'region-317', 'region-329', 'region-353', 'region-503', 'region-746', 'region-1719', 'region-1725', 'region-1754', 'region-1774', 'region-1781', 'region-1877', 'region-1920', 'region-1999']",[]
region-15,"['region-2', 'region-13', 'region-15', 'region-25', 'region-92', 'region-1130', 'region-1534', 'region-1689', 'region-1838', 'region-1845', 'region-1854', 'region-2032']",[]
region-16,"['region-10', 'region-16', 'region-56', 'region-181', 'region-308', 'region-588', 'region-752', 'region-1754', 'region-1781', 'region-1877', 'region-2008']",[]
region-17,"['region-17', 'region-121', 'region-175', 'region-558', 'region-625', 'region-642', 'region-826', 'region-911', 'region-972', 'region-990', 'region-1004', 'region-1082', 'region-1125', 'region-1149', 'region-1152', 'region-1413', 'region-1473', 'region-1526', 'region-1527', 'region-1596', 'region-1624', 'region-1649', 'region-1655', 'region-1830', 'region-1975', 'region-1984', 'region-2009', 'region-2013', 'region-2036']",[]
region-18,"['region-18', 'region-103', 'region-1494', 'region-1572', 'region-1886', 'region-1901', 'region-1907', 'region-1964', 'region-2002']",[]
region-19,"['region-19', 'region-143', 'region-482', 'region-837', 'region-846', 'region-1114', 'region-1147', 'region-1310', 'region-1318', 'region-1330', 'region-1457', 'region-1775', 'region-1780', 'region-1899', 'region-1937', 'region-1954', 'region-1958']",[]
region-20,"['region-20', 'region-517', 'region-1963', 'region-1970', 'region-2028']",[]
region-21,"['region-21', 'region-75', 'region-341', 'region-357', 'region-590', 'region-766', 'region-1576', 'region-1744', 'region-1761', 'region-1777', 'region-1801', 'region-1862', 'region-2035']",[]
region-22,"['region-22', 'region-82', 'region-254', 'region-426', 'region-532', 'region-781', 'region-848', 'region-962', 'region-1681', 'region-1703', 'region-1745', 'region-1746', 'region-1770', 'region-1794', 'region-1846', 'region-1906', 'region-2014']",[]
region-23,"['region-23', 'region-100', 'region-154', 'region-182', 'region-189', 'region-219', 'region-239', 'region-242', 'region-250', 'region-441', 'region-499', 'region-522', 'region-534', 'region-776', 'region-1687', 'region-1699', 'region-1761', 'region-1778', 'region-1792', 'region-2035']",[]
region-24,"['region-24', 'region-224', 'region-251', 'region-2000', 'region-2043']",[]
region-25,"['region-2', 'region-13', 'region-15', 'region-25', 'region-66', 'region-92', 'region-127', 'region-184', 'region-240', 'region-1534', 'region-1689', 'region-1694', 'region-1838', 'region-1845', 'region-1854', 'region-2032']",[]
region-26,"['region-3', 'region-26', 'region-455', 'region-881', 'region-1115', 'region-1191', 'region-1256', 'region-1267', 'region-1328', 'region-1385', 'region-1469', 'region-1610', 'region-1627', 'region-1780', 'region-1867', 'region-1897', 'region-1923', 'region-1937', 'region-1956', 'region-1985']",[]
