Brand,Competitive,Related
7-Eleven,"['FamilyMart', 'Sunkus', 'Daily Yamazaki', 'LAWSON', 'NATURAL LAWSON', 'LAWSON STORE 100', 'Ministop']","['FamilyMart', 'Mobil', 'Daily Yamazaki', 'LAWSON', 'Ministop', 'Big Boy Restaurants', 'Shell', 'Circle K', 'ENEOS Enejet']"
FamilyMart,"['Sunkus', 'Daily Yamazaki', 'LAWSON', 'NATURAL LAWSON', '7-Eleven', 'LAWSON STORE 100', 'Ministop']","['Mobil', 'Daily Yamazaki', 'LAWSON', 'Ministop', 'Big Boy Restaurants', '7-Eleven', 'Shell', 'Circle K', 'ENEOS Enejet']"
LAWSON,"['FamilyMart', 'Sunkus', 'Daily Yamazaki', 'NATURAL LAWSON', '7-Eleven', 'LAWSON STORE 100', 'Ministop']",['Circle K']
Times,"['Navi Park', 'Bicycle Parking', 'NPC', 'park station', 'Break 24h', 'Repark', 'Times 24th', '月極駐車場', 'Paraca', 'COIN PARK', 'Mitsui Repark', 'TOMO', 'ECOLO PARK', 'コインパーク', '三井のリパーク']",[]
My Basket,"['Life', 'Summit', 'Seiyu', 'Gyomu Super', 'Maruetsu']",[]
Mitsui Repark,"['Navi Park', 'Bicycle Parking', 'NPC', 'park station', 'Break 24h', 'Repark', 'Times', 'Times 24th', '月極駐車場', 'Paraca', 'COIN PARK', 'TOMO', 'ECOLO PARK', 'コインパーク', '三井のリパーク']",[]
Doutor,"['Renoir', 'Cafe de CRIE', 'Starbucks', 'CAFFÈ VELOCE', 'EXCELSIOR CAFFÉ', 'Pronto', 'ST.MARC CAFÉ', 'Kohikan', ""Tully's Coffee""]",[]
Koban,[],[]
Starbucks,"['Renoir', 'Cafe de CRIE', 'CAFFÈ VELOCE', 'EXCELSIOR CAFFÉ', 'Pronto', 'ST.MARC CAFÉ', 'Kohikan', ""Tully's Coffee"", 'Doutor']","[""Carl's Jr."", ""McDonald's"", 'Burger King', 'KFC', ""Wendy's"", 'Big Boy Restaurants', 'Cinnabon', 'Blue Bottle Coffee', 'Subway', 'Shake Shack', ""Tully's Coffee"", 'Mister Donut']"
Post Office,['JP'],[]
Matsuya,"['Bamiyan', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']",[]
McDonald's,"['Matsuya', 'Bamiyan', 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']","[""Carl's Jr."", 'Hooters', 'Starbucks', 'Big Boy Restaurants', 'Cinnabon', 'Burger King', ""Denny's"", ""Domino's"", 'Subway', 'Baskin-Robbins', ""Shaky's"", 'CoCo Ichibanya', ""Wendy's"", 'Blue Bottle Coffee', 'Shake Shack', ""Tully's Coffee"", 'Mister Donut', 'Taco Bell', 'Pizza Hut', 'Pepper Lunch', 'KFC', 'Red Lobster']"
ENEOS,"['Cosmo', 'Showa Shell Sekiyu', 'Idemitsu Kosan']",[]
LAWSON STORE 100,"['FamilyMart', 'Sunkus', 'Daily Yamazaki', 'LAWSON', 'NATURAL LAWSON', '7-Eleven', 'Ministop']",[]
Mizuho Bank,"['Sumitomo Mitsui Banking Corporation', 'Resona Bank', 'ja:みずほ銀行', 'MUFG Bank']",['Sumitomo Mitsui Trust Bank']
Repark,"['Navi Park', 'Bicycle Parking', 'NPC', 'park station', 'Break 24h', 'Times', 'Times 24th', '月極駐車場', 'Paraca', 'COIN PARK', 'Mitsui Repark', 'TOMO', 'ECOLO PARK', 'コインパーク', '三井のリパーク']",[]
Ministop,"['FamilyMart', 'Sunkus', 'Daily Yamazaki', 'LAWSON', 'NATURAL LAWSON', '7-Eleven', 'LAWSON STORE 100']",['Circle K']
au,"['Y!mobile', 'SoftBankShop', 'SoftBank', 'DoCoMo Shop', 'NTT docomo']",[]
DoCoMo Shop,"['Y!mobile', 'SoftBankShop', 'SoftBank', 'NTT docomo', 'au']",[]
Sukiya,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']",[]
Tully's Coffee,"['Renoir', 'Cafe de CRIE', 'Starbucks', 'CAFFÈ VELOCE', 'EXCELSIOR CAFFÉ', 'Pronto', 'ST.MARC CAFÉ', 'Kohikan', 'Doutor']","[""Carl's Jr."", 'Burger King', 'KFC', ""Wendy's"", 'Big Boy Restaurants', 'Blue Bottle Coffee', 'Shake Shack']"
SoftBankShop,"['Y!mobile', 'SoftBank', 'DoCoMo Shop', 'NTT docomo', 'au']",[]
MOS Burger,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'Ikinari Steak', 'Nakau', 'Freshness Burger']",[]
MUFG Bank,"['Sumitomo Mitsui Banking Corporation', 'Mizuho Bank', 'Resona Bank', 'ja:みずほ銀行']",[]
Yoshinoya,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']",[]
Matsukiyo,"['Welcia', 'Sundrug', 'Seijo', 'papasu', 'Kusurino FUKUTARO', 'Cocokara Fine', ""Tomod's"", 'Sugi Pharmacy']",[]
CAFFÈ VELOCE,"['Renoir', 'Cafe de CRIE', 'Starbucks', 'EXCELSIOR CAFFÉ', 'Pronto', 'ST.MARC CAFÉ', 'Kohikan', ""Tully's Coffee"", 'Doutor']",[]
ST.MARC CAFÉ,"['Renoir', 'Cafe de CRIE', 'Starbucks', 'CAFFÈ VELOCE', 'EXCELSIOR CAFFÉ', 'Pronto', 'Kohikan', ""Tully's Coffee"", 'Doutor']",[]
Saizeriya,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']","['Big Boy Restaurants', ""TGI Friday's"", 'Subway', 'Red Lobster']"
Gusto,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']",[]
Paraca,"['Navi Park', 'Bicycle Parking', 'NPC', 'park station', 'Break 24h', 'Repark', 'Times', 'Times 24th', '月極駐車場', 'COIN PARK', 'Mitsui Repark', 'TOMO', 'ECOLO PARK', 'コインパーク', '三井のリパーク']",[]
Times 24th,"['Navi Park', 'Bicycle Parking', 'NPC', 'park station', 'Break 24h', 'Repark', 'Times', '月極駐車場', 'Paraca', 'COIN PARK', 'Mitsui Repark', 'TOMO', 'ECOLO PARK', 'コインパーク', '三井のリパーク']",[]
Sumitomo Mitsui Banking Corporation,"['Mizuho Bank', 'Resona Bank', 'ja:みずほ銀行', 'MUFG Bank']",[]
CoCo Ichibanya,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']",['KFC']
Daiso,"['CAN DO', 'Don Quijote']",[]
Pony,"['White Kyuubin', 'スワローチェーン', 'コインランドリー']",[]
